student_id,day,subject,session_id,stress_level,bpm
S1,day1,math,day1_math,normal,86
S2,day1,math,day1_math,normal,82
S3,day1,math,day1_math,normal,84
S1,day1,arabic,day1_arabic,normal,85
S2,day1,arabic,day1_arabic,normal,88
S3,day1,arabic,day1_arabic,normal,83
S1,day1,english,day1_english,normal,84
S2,day1,english,day1_english,normal,81
S3,day1,english,day1_english,normal,89
S1,day2,math,day2_math,normal,87
S2,day2,math,day2_math,high,112
S3,day2,math,day2_math,high,116
S1,day2,arabic,day2_arabic,high,110
S2,day2,arabic,day2_arabic,normal,90
S3,day2,arabic,day2_arabic,normal,84
S1,day2,english,day2_english,normal,82
S2,day2,english,day2_english,high,109
S3,day2,english,day2_english,normal,91
S1,day3,math,day3_math,normal,88
S2,day3,math,day3_math,high,115
S3,day3,math,day3_math,normal,86
S1,day3,arabic,day3_arabic,high,111
S2,day3,arabic,day3_arabic,normal,89
S3,day3,arabic,day3_arabic,high,118
